1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
1	25	1
1	26	1
1	27	1
1	28	1
1	29	1
2	22	1
2	25	1
2	26	1
2	29	1
2	30	1
2	31	1
2	32	1
2	33	1
2	34	1
2	35	1
2	36	1
2	37	1
2	38	1
2	39	1
2	40	1
3	6	1
3	17	1
3	20	1
3	22	1
3	25	1
3	29	1
3	30	1
3	38	1
3	40	1
3	41	1
3	42	1
3	43	1
3	44	1
3	45	1
3	46	1
3	47	1
3	48	1
4	17	1
4	22	1
4	26	1
4	30	1
4	38	1
4	40	1
4	49	1
4	50	1
4	51	1
4	52	1
4	53	1
4	54	1
4	55	1
4	56	1
4	57	1
6	6	1
6	17	1
6	38	1
6	58	1
6	59	1
6	60	1
6	61	1
6	62	1
6	63	1
6	64	1
6	65	1
7	6	1
7	22	1
7	24	1
7	26	1
7	29	1
7	35	1
7	36	1
7	43	1
7	45	1
7	49	1
7	55	1
7	57	1
7	66	1
7	67	1
7	68	1
7	69	1
7	70	1
7	71	1
7	72	1
8	6	1
8	17	1
8	22	1
8	24	1
8	43	1
8	50	1
8	52	1
8	73	1
8	74	1
8	75	1
8	76	1
8	77	1
8	78	1
8	79	1
8	80	1
9	20	1
9	22	1
9	43	1
9	50	1
9	74	1
9	79	1
9	81	1
9	82	1
9	83	1
9	84	1
9	85	1
9	86	1
9	87	1
10	6	1
10	22	1
10	24	1
10	50	1
10	52	1
10	74	1
10	88	1
10	89	1
10	90	1
10	91	1
10	92	1
10	93	1
10	94	1
10	95	1
10	96	1
10	97	1
10	98	1
11	17	1
11	22	1
11	38	1
11	43	1
11	99	1
11	100	1
11	101	1
11	102	1
11	103	1
11	104	1
11	105	1
11	106	1
11	107	1
11	108	1
11	109	1
11	110	1
11	111	1
11	112	1
11	113	1
11	114	1
11	115	1
11	116	1
11	117	1
11	118	1
11	119	1
11	120	1
11	121	1
11	122	1
11	123	1
11	124	1
11	125	1
11	126	1
11	127	1
11	128	1
11	129	1
11	130	1
11	131	1
11	132	1
11	133	1
11	134	1
11	135	1
11	136	1
11	137	1
11	138	1
11	139	1
11	140	1
11	141	1
11	142	1
11	143	1
11	144	1
11	145	1
11	146	1
11	147	1
11	148	1
11	149	1
11	150	1
11	151	1
11	152	1
11	153	1
12	6	1
12	22	1
12	50	1
12	56	1
12	74	1
12	86	1
12	88	1
12	96	1
12	154	1
12	155	1
12	156	1
12	157	1
12	158	1
12	159	1
12	160	1
12	161	1
13	6	1
13	17	1
13	22	1
13	24	1
13	57	1
13	162	1
13	163	1
13	164	1
13	165	1
13	166	1
13	167	1
13	168	1
13	169	1
13	170	1
15	6	1
15	17	1
15	20	1
15	38	1
15	63	1
15	91	1
15	171	1
15	172	1
15	173	1
15	174	1
15	175	1
15	176	1
15	177	1
17	22	1
17	159	1
17	178	1
17	179	1
17	180	1
17	181	1
17	182	1
17	183	1
17	184	1
17	185	1
17	186	1
17	187	1
17	188	1
17	189	1
17	190	1
17	191	1
17	192	1
17	193	1
17	194	1
17	195	1
17	196	1
17	197	1
18	20	1
18	22	1
18	30	1
18	103	1
18	104	1
18	105	1
18	110	1
18	112	1
18	120	1
18	123	1
18	141	1
18	198	1
18	199	1
18	200	1
18	201	1
18	202	1
18	203	1
18	204	1
18	205	1
18	206	1
18	207	1
18	208	1
18	209	1
18	210	1
